タイトル名,評価,視聴数,制作会社,声優,主題歌・挿入歌,あらすじ
寄生獣 セイの格率（2014年製作のアニメ）,4.0,6995,マッドハウス,"['平野綾', '島﨑信長', '花澤香菜', '安野希世乃', '前田玲奈', '沢城みゆき', '吉野裕行']","['Fear, and Loathing in Las Vegas', '三浦大知']",高校生の泉新一は、ある日突然｢パラサイト｣の襲撃を受ける。間一髪で脳への寄生は免れるものの、パラサイトは新一の右腕に寄生。さらには同化してしまう。そして、自らを「ミギー」と名乗るパラサイトと人間の、奇妙な共生生活が始まるのだった。周囲に真実を話すことができず悩む新一。次第にミギーとの間に友情に近いものを感じるようになっていくが…？
BLEACH 千年血戦篇-訣別譚-（2023年製作のアニメ）,4.3,3307,スタジオぴえろ,"['森田成一', '折笠富美子', '伊藤健太郎', '大塚明夫', '小野坂昌也', '置鮎龍太郎', '稲田徹']","['w.o.d.', '神山羊']",最後の聖戦、迫る――。
時々ボソッとロシア語でデレる隣のアーリャさん（2024年製作のアニメ）,3.6,2703,動画工房,"['天﨑滉平', '上坂すみれ', '丸岡和佳奈', '藤井ゆきよ', '会沢紗弥', '河瀬茉希', '石川界人']",['上坂すみれ'],美少女JKがロシア語でデレてくる！？ ニヤニヤ必至の青春ラブコメディ！
魔王の俺が奴隷エルフを嫁にしたんだが、どう愛でればいい？（2024年製作のアニメ）,3.3,458,ブレインズ・ベース,"['小林裕介', '市ノ瀬加那', '菱川花菜', '谷山紀章', '美坂朱音', '稲田徹', '伊藤彩沙']","['The Brow Beat', '山本彩']",「もしかして、これが恋ってやつなのかっ！！！」　孤独な魔術師は一人の少女に恋をした
魔王の俺が奴隷エルフを嫁にしたんだが、どう愛でればいい？（2024年製作のアニメ）,3.3,458,ブレインズ・ベース,"['小林裕介', '高橋李依', '内山夕実', '水瀬いのり', '村川梨衣', '新井里美', '子安武人']","['前島麻由', 'nonoc']",「もしかして、これが恋ってやつなのかっ！！！」　孤独な魔術師は一人の少女に恋をした
ジョジョの奇妙な冒険 スターダストクルセイダース（2014年製作のアニメ）,4.3,16079,デイヴィッドプロダクション,"['小野大輔', '平川大輔', '小松史法', '三宅健太', '杉田智和', '福圓美里', '釘宮理恵']",['橋本仁'],スタンド覚醒。星の宿命が動き出す――。
マッシュル-MASHLE-（2023年製作のアニメ）,3.8,14688,A-1 Pictures,"['小林千晃', '川島零士', '石川界人', '江口拓也', '上田麗奈', '梶裕貴', '梅原裕一郎']","['岡崎体育', 'フィロソフィーのダンス']",ブッ壊すしかないでしょ グーパンで
五等分の花嫁（2019年製作のアニメ）,3.8,16103,手塚プロダクション,"['松岡禎丞', '花澤香菜', '竹達彩奈', '伊藤美来', '佐倉綾音', '水瀬いのり', '日野聡']","['花澤香菜', '竹達彩奈', '伊藤美来', '佐倉綾音', '水瀬いのり', '内田彩']",貧乏な生活を送る高校2年生・上杉風太郎のもとに、好条件の家庭教師アルバイトの話が舞い込む。ところがその教え子は何と最悪な出会いを果たした同じクラスの転入生で、しかも五つ子。全員美少女だけど、“落第寸前”“勉強嫌い”の問題児ばかりで…。
ゴールデンカムイ 第3期（2020年製作のアニメ）,4.3,10366,ジェノスタジオ,"['小林親弘', '白石晴香', '伊藤健太郎', '大塚芳忠', '中田譲治', '津田健次郎', '細谷佳正']","['FOMARE', 'THE SIXTH LIE']",杉元とアシ（リ）パの再会は叶うのか！？極寒の地で新たな局面を迎える生存競争サバイバル、樺太編が開幕ッッ！！！
シャングリラ・フロンティア（2023年製作のアニメ）,3.8,3343,C2C,"['内田雄馬', '和氣あず未', '日笠陽子', '小市眞琴', '日高里菜', '大塚明夫', '花守ゆみり']","['FZMZ', 'CHiCO', 'ReoNa']",「クソゲー以外をプレイするなんて、いつ以来だろうな」
亜人（2016年製作のアニメ）,3.8,5176,ポリゴン・ピクチュアズ,"['宮野真守', '細谷佳正', '大塚芳忠', '櫻井孝宏', '小松未可子', '平川大輔', '洲崎綾']","['flumpool', '宮野真守']",死ねば、わかる。
ゆびさきと恋々（2024年製作のアニメ）,4.0,3796,亜細亜堂,"['諸星すみれ', '宮崎遊', '大塚剛央', '逢坂良太', '本渡楓', '東山奈央', '畠中祐']","['Novelbright', 'チョーキューメイ']",この手で「好き」って伝えたい…。
